Date,Day,Hour,Station,lat,long,Pollutant,Concentration,AQI
  2017-04-30,Sun,2,Amsterdam-Vondelpark,52.359864,4.866185,NO2,17.1,2
  2017-04-30,Sun,2,Amsterdam-Vondelpark,52.359864,4.866185,PM25,5.6,1
  2017-04-30,Sun,2,Amsterdam-Vondelpark,52.359864,4.866185,PM10,8.9,1
  2017-04-30,Sun,2,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.61,1
  2017-04-30,Sun,2,Amsterdam-Vondelpark,52.359864,4.866185,O3,76.2,5
  2017-04-30,Sun,2,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.2,1
  2017-04-30,Sun,2,Amsterdam-Vondelpark,52.359864,4.866185,CO,110.9,1
  2017-04-30,Sun,3,Amsterdam-Vondelpark,52.359864,4.866185,NO2,14.4,2
  2017-04-30,Sun,3,Amsterdam-Vondelpark,52.359864,4.866185,PM25,5.2,1
  2017-04-30,Sun,3,Amsterdam-Vondelpark,52.359864,4.866185,PM10,6,1
  2017-04-30,Sun,3,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.66,1
  2017-04-30,Sun,3,Amsterdam-Vondelpark,52.359864,4.866185,O3,76.4,5
  2017-04-30,Sun,3,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.2,1
  2017-04-30,Sun,3,Amsterdam-Vondelpark,52.359864,4.866185,CO,91.6,1
  2017-04-30,Sun,4,Amsterdam-Vondelpark,52.359864,4.866185,PM25,7.3,1
  2017-04-30,Sun,4,Amsterdam-Vondelpark,52.359864,4.866185,PM10,5.5,1
  2017-04-30,Sun,4,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.64,1
  2017-04-30,Sun,4,Amsterdam-Vondelpark,52.359864,4.866185,O3,74.5,5
  2017-04-30,Sun,4,Amsterdam-Vondelpark,52.359864,4.866185,CO,88.4,1
  2017-04-30,Sun,4,Amsterdam-Vondelpark,52.359864,4.866185,NO2,13.1,2
  2017-04-30,Sun,5,Amsterdam-Vondelpark,52.359864,4.866185,NO2,11.9,2
  2017-04-30,Sun,5,Amsterdam-Vondelpark,52.359864,4.866185,PM10,7.5,1
  2017-04-30,Sun,5,Amsterdam-Vondelpark,52.359864,4.866185,PM25,7,1
  2017-04-30,Sun,5,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.56,1
  2017-04-30,Sun,5,Amsterdam-Vondelpark,52.359864,4.866185,O3,77,5
  2017-04-30,Sun,5,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.3,1
  2017-04-30,Sun,5,Amsterdam-Vondelpark,52.359864,4.866185,CO,77.6,1
  2017-04-30,Sun,6,Amsterdam-Vondelpark,52.359864,4.866185,PM25,7,1
  2017-04-30,Sun,6,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.53,1
  2017-04-30,Sun,6,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.1,1
  2017-04-30,Sun,6,Amsterdam-Vondelpark,52.359864,4.866185,CO,68.7,1
  2017-04-30,Sun,6,Amsterdam-Vondelpark,52.359864,4.866185,PM10,10.7,2
  2017-04-30,Sun,6,Amsterdam-Vondelpark,52.359864,4.866185,O3,75.2,5
  2017-04-30,Sun,6,Amsterdam-Vondelpark,52.359864,4.866185,NO2,11.8,2
  2017-04-30,Sun,7,Amsterdam-Vondelpark,52.359864,4.866185,NO2,14.2,2
  2017-04-30,Sun,7,Amsterdam-Vondelpark,52.359864,4.866185,PM25,6.9,1
  2017-04-30,Sun,7,Amsterdam-Vondelpark,52.359864,4.866185,PM10,11.2,2
  2017-04-30,Sun,7,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.51,1
  2017-04-30,Sun,7,Amsterdam-Vondelpark,52.359864,4.866185,O3,72.7,5
  2017-04-30,Sun,7,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.3,1
  2017-04-30,Sun,7,Amsterdam-Vondelpark,52.359864,4.866185,CO,75,1
  2017-04-30,Sun,8,Amsterdam-Vondelpark,52.359864,4.866185,PM25,5.2,1
  2017-04-30,Sun,8,Amsterdam-Vondelpark,52.359864,4.866185,PM10,10,2
  2017-04-30,Sun,8,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.52,1
  2017-04-30,Sun,8,Amsterdam-Vondelpark,52.359864,4.866185,O3,71.7,5
  2017-04-30,Sun,8,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.9,1
  2017-04-30,Sun,8,Amsterdam-Vondelpark,52.359864,4.866185,CO,103.2,1
  2017-04-30,Sun,8,Amsterdam-Vondelpark,52.359864,4.866185,NO2,15,2
  2017-04-30,Sun,9,Amsterdam-Vondelpark,52.359864,4.866185,PM25,6.6,1
  2017-04-30,Sun,9,Amsterdam-Vondelpark,52.359864,4.866185,PM10,11.1,2
  2017-04-30,Sun,9,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.49,1
  2017-04-30,Sun,9,Amsterdam-Vondelpark,52.359864,4.866185,O3,71.2,5
  2017-04-30,Sun,9,Amsterdam-Vondelpark,52.359864,4.866185,NO,1.4,1
  2017-04-30,Sun,9,Amsterdam-Vondelpark,52.359864,4.866185,CO,112.7,1
  2017-04-30,Sun,9,Amsterdam-Vondelpark,52.359864,4.866185,NO2,13.5,2
