Date,Day,Hour,Station,lat,long,Pollutant,Concentration,AQI
2017-04-30,Sun,2,Amsterdam-Westerpark,52.394126,4.870355,SO2,0,1
2017-04-30,Sun,2,Amsterdam-Westerpark,52.394126,4.870355,PM25,11.4,2
2017-04-30,Sun,2,Amsterdam-Westerpark,52.394126,4.870355,PM10,17.4,2
2017-04-30,Sun,3,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.1,1
2017-04-30,Sun,3,Amsterdam-Westerpark,52.394126,4.870355,PM25,15.2,3
2017-04-30,Sun,3,Amsterdam-Westerpark,52.394126,4.870355,PM10,11.7,2
2017-04-30,Sun,4,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.7,1
2017-04-30,Sun,4,Amsterdam-Westerpark,52.394126,4.870355,PM25,14.4,2
2017-04-30,Sun,4,Amsterdam-Westerpark,52.394126,4.870355,PM10,11.6,2
2017-04-30,Sun,5,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.7,1
2017-04-30,Sun,5,Amsterdam-Westerpark,52.394126,4.870355,PM25,17.9,3
2017-04-30,Sun,5,Amsterdam-Westerpark,52.394126,4.870355,PM10,21.5,3
2017-04-30,Sun,6,Amsterdam-Westerpark,52.394126,4.870355,SO2,1.6,1
2017-04-30,Sun,6,Amsterdam-Westerpark,52.394126,4.870355,PM25,12.7,2
2017-04-30,Sun,6,Amsterdam-Westerpark,52.394126,4.870355,PM10,15.6,2
2017-04-30,Sun,7,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.8,1
2017-04-30,Sun,8,Amsterdam-Westerpark,52.394126,4.870355,SO2,1.2,1
2017-04-30,Sun,8,Amsterdam-Westerpark,52.394126,4.870355,PM25,18.5,3
2017-04-30,Sun,8,Amsterdam-Westerpark,52.394126,4.870355,PM10,20.1,3
2017-04-30,Sun,9,Amsterdam-Westerpark,52.394126,4.870355,SO2,3.1,1
2017-04-30,Sun,9,Amsterdam-Westerpark,52.394126,4.870355,PM25,16.6,3
2017-04-30,Sun,9,Amsterdam-Westerpark,52.394126,4.870355,PM10,21.1,3
2017-04-30,Sun,10,Amsterdam-Westerpark,52.394126,4.870355,SO2,3.1,1
2017-04-30,Sun,10,Amsterdam-Westerpark,52.394126,4.870355,PM25,16.4,3
2017-04-30,Sun,10,Amsterdam-Westerpark,52.394126,4.870355,PM10,30.5,4
2017-04-30,Sun,11,Amsterdam-Westerpark,52.394126,4.870355,SO2,3.3,1
2017-04-30,Sun,11,Amsterdam-Westerpark,52.394126,4.870355,PM25,24.4,4
2017-04-30,Sun,11,Amsterdam-Westerpark,52.394126,4.870355,PM10,28.1,3
2017-04-30,Sun,12,Amsterdam-Westerpark,52.394126,4.870355,SO2,3.1,1
2017-04-30,Sun,12,Amsterdam-Westerpark,52.394126,4.870355,PM25,17.3,3
2017-04-30,Sun,12,Amsterdam-Westerpark,52.394126,4.870355,PM10,30,4
2017-04-30,Sun,13,Amsterdam-Westerpark,52.394126,4.870355,SO2,2.1,1
2017-04-30,Sun,13,Amsterdam-Westerpark,52.394126,4.870355,PM25,18.8,3
2017-04-30,Sun,13,Amsterdam-Westerpark,52.394126,4.870355,PM10,25,3
2017-04-30,Sun,14,Amsterdam-Westerpark,52.394126,4.870355,SO2,2.3,1
2017-04-30,Sun,14,Amsterdam-Westerpark,52.394126,4.870355,PM25,18.6,3
2017-04-30,Sun,14,Amsterdam-Westerpark,52.394126,4.870355,PM10,34.9,4
2017-04-30,Sun,15,Amsterdam-Westerpark,52.394126,4.870355,SO2,2.9,1
2017-04-30,Sun,15,Amsterdam-Westerpark,52.394126,4.870355,PM25,16.6,3
2017-04-30,Sun,15,Amsterdam-Westerpark,52.394126,4.870355,PM10,39.5,4
2017-04-30,Sun,16,Amsterdam-Westerpark,52.394126,4.870355,SO2,1.2,1
2017-04-30,Sun,16,Amsterdam-Westerpark,52.394126,4.870355,PM25,17,3
2017-04-30,Sun,16,Amsterdam-Westerpark,52.394126,4.870355,PM10,29.5,3
2017-04-30,Sun,17,Amsterdam-Westerpark,52.394126,4.870355,SO2,2,1
2017-04-30,Sun,17,Amsterdam-Westerpark,52.394126,4.870355,PM25,17.4,3
2017-04-30,Sun,17,Amsterdam-Westerpark,52.394126,4.870355,PM10,32.4,4
2017-04-30,Sun,18,Amsterdam-Westerpark,52.394126,4.870355,SO2,2,1
2017-04-30,Sun,18,Amsterdam-Westerpark,52.394126,4.870355,PM25,13.6,2
2017-04-30,Sun,18,Amsterdam-Westerpark,52.394126,4.870355,PM10,23.7,3
2017-04-30,Sun,19,Amsterdam-Westerpark,52.394126,4.870355,SO2,2.3,1
2017-04-30,Sun,19,Amsterdam-Westerpark,52.394126,4.870355,PM25,13.6,2
2017-04-30,Sun,19,Amsterdam-Westerpark,52.394126,4.870355,PM10,16.7,2
2017-04-30,Sun,20,Amsterdam-Westerpark,52.394126,4.870355,SO2,2.4,1
2017-04-30,Sun,20,Amsterdam-Westerpark,52.394126,4.870355,PM25,13.8,2
2017-04-30,Sun,20,Amsterdam-Westerpark,52.394126,4.870355,PM10,20.1,3
2017-04-30,Sun,21,Amsterdam-Westerpark,52.394126,4.870355,SO2,2.3,1
2017-04-30,Sun,21,Amsterdam-Westerpark,52.394126,4.870355,PM25,15,3
2017-04-30,Sun,21,Amsterdam-Westerpark,52.394126,4.870355,PM10,16.4,2
2017-04-30,Sun,22,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.9,1
2017-04-30,Sun,22,Amsterdam-Westerpark,52.394126,4.870355,PM25,15.1,3
2017-04-30,Sun,22,Amsterdam-Westerpark,52.394126,4.870355,PM10,12.4,2
2017-04-30,Sun,23,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-04-30,Sun,23,Amsterdam-Westerpark,52.394126,4.870355,PM25,14.5,2
2017-04-30,Sun,23,Amsterdam-Westerpark,52.394126,4.870355,PM10,19.6,2
2017-05-01,Mon,0,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
